Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2017,Hyundai Grand i10 1.2 Kappa Asta,"35,811",Petrol,Manual,4.45,"Ganapathipuram, Chennai"
2016,Maruti Baleno 1.2 Zeta,"70,884",Petrol,Manual,4.85,"Vadapalani, Chennai"
2022,Mahindra Thar LX 4WD Convert Top Diesel AT BSVI,"56,000",Diesel,Automatic,13.80,"Medavakkam, Chennai"
2018,BMW X3 xDrive 20d Luxury Line,"1,12,000",Diesel,Automatic,25,"Anna Nagar West Extension, Chennai"
2016,Maruti Baleno 1.2 Alpha,"61,142",Petrol,Manual,5.40,"Chromepet, Chennai"
2013,Nissan Micra XV CVT,"48,251",Petrol,Automatic,3.49,"Thygaraya Nagar, Chennai"
2021,Skoda Kushaq 1.0 TSI Style,"17,000",Petrol,Manual,13.25,"Medavakkam, Chennai"
2022,Skoda Slavia 1.0 TSI Style AT BSVI,"19,617",Petrol,Automatic,12.93,"Ganapathipuram, Chennai"
2014,Honda Amaze VX Diesel,"1,21,314",Diesel,Manual,3.70,"Meenambakkam, Chennai"
2017,Honda Brio 1.2 S MT,"59,618",Petrol,Manual,4.05,"Ganapathipuram, Chennai"
2020,MG Gloster Savvy 6-Str,"76,046",Diesel,Automatic,29,"Nandanam, Chennai"
