Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2018,Hyundai i20 Petrol Spotz,"34,025",Petrol,Manual,6.49,"Malleswaram, Bangalore"
2018,Honda Amaze V CVT Petrol BSIV,"36,000",Petrol,Automatic,6.95,"Hosur Road, Bangalore"
2021,Honda City ZX MT,"40,000",Petrol,Manual,11.45,"Indiranagar, Bangalore"
2019,Maruti Ciaz Alpha Automatic BSIV,"11,218",Petrol,Automatic,7.93,"Jakkur, Bangalore"
2021,Kia Sonet GTX Plus Diesel BSVI,"28,000",Diesel,Manual,12,"Adugodi, Bangalore"
2017,Hyundai Creta 1.6 CRDi SX Plus,"94,000",Diesel,Manual,11.45,"R T Nagar, Bangalore"
2018,Audi Q5 35TDI Technology,"86,000",Diesel,Automatic,32.35,"Indiranagar, Bangalore"
2021,MG Hector Sharp DCT,"27,968",Petrol,Automatic,15.99,"Bellandur, Bangalore"
2016,Maruti Baleno 1.2 CVT Delta,"57,856",Petrol,Automatic,5.50,"Marathahalli Colony, Bangalore"
2022,Kia Sonet HTX Diesel AT BSVI,"41,748",Diesel,Automatic,11.65,"City, Bangalore"
2012,BMW 3 Series 320i Touring,"80,000",Petrol,Automatic,8,Bangalore
2022,Honda Amaze 2nd Gen VX CVT BSVI,"11,954",Petrol,Automatic,8.87,"Yelahanka, Bangalore"
2021,Hyundai Venue SX Opt Turbo iMT BSVI,"20,316",Petrol,Manual,10.44,"BTM Layout, Bangalore"
2022,Renault KWID Climber 1.0 MT DT,"4,700",Petrol,Manual,5.45,"Amruthahalli, Bangalore"
2020,Honda City VX MT,"41,976",Petrol,Manual,9.95,"Marathahalli Colony, Bangalore"
2023,Hyundai Grand i10 Nios Asta,"26,427",Petrol,Manual,8.03,"Btm Layout, Bangalore"
2022,Volkswagen Taigun 1.0 TSI Topline BSVI,"41,021",Petrol,Manual,13.30,"Bellandur, Bangalore"
2011,Maruti Swift Dzire 1.2 Vxi BSIV,"62,640",Petrol,Manual,3.63,"Malleswaram, Bangalore"
2022,Jeep Compass Model S 4X4 Diesel AT BSVI,"24,228",Diesel,Automatic,27.75,"Marathahalli Colony, Bangalore"
2022,Maruti Celerio ZXI Plus BSVI,"8,000",Petrol,Manual,6,"Marathahalli Colony, Bangalore"
2018,Skoda Kodiaq 2.0 TDI Style,"75,000",Diesel,Automatic,25.25,"Adugodi, Bangalore"
2020,Hyundai Grand i10 Magna Petrol BSIV,"25,264",Petrol,Manual,5.63,"Btm Layout, Bangalore"
2019,Hyundai Venue SX Diesel BSIV,"63,036",Diesel,Manual,9.95,"City, Bangalore"
2016,Hyundai Creta 1.6 VTVT AT SX Plus,"57,968",Petrol,Automatic,8.69,"Hoodi, Bangalore"
2020,Kia Seltos GTX,"34,499",Petrol,Manual,11.77,"Hoodi, Bangalore"
2021,Kia Seltos GTX Plus DCT,"31,361",Petrol,Automatic,15.75,"Bellandur, Bangalore"
2019,Jeep Compass 2.0 Limited,"58,500",Diesel,Manual,16.01,"Adugodi, Bangalore"
2021,Maruti Swift VXI BSVI,"33,554",Petrol,Manual,6.95,"Singasandra, Bangalore"
2019,Tata Nexon 1.2 Revotron XMA,"29,784",Petrol,Automatic,7.07,"Richmond Town, Bangalore"
2013,Maruti Wagon R VXI BS IV,"35,000",Petrol,Manual,4.10,"Maruthi Nagar, Bangalore"
2022,Renault KWID Climber 1.0 MT Opt,"16,444",Petrol,Manual,5.78,"Malleswaram, Bangalore"
2019,BMW X3 xDrive 20d Luxury Line,"77,000",Diesel,Automatic,39,"Pulkeshi Nagar, Bangalore"
2020,Maruti Celerio X ZXI,"15,361",Petrol,Manual,5.96,"Yelahanka, Bangalore"
2016,Hyundai Creta 1.6 VTVT SX Plus,"65,300",Petrol,Manual,8.31,"Adugodi, Bangalore"
2017,Mercedes-Benz E-Class E 220D,"56,000",Diesel,Automatic,38.75,"Bazaar, Bangalore"
2016,Honda City i VTEC V,"35,000",Petrol,Manual,6.95,"Panathur, Bangalore"
2021,Kia Sonet GTX Plus Turbo DCT BSVI,"19,000",Petrol,Automatic,12.50,"Adugodi, Bangalore"
2016,Maruti Wagon R AMT VXI,"53,359",Petrol,Automatic,3.83,"Hoodi, Bangalore"
