Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2024,Maruti Wagon R VXI 1.2,"7,223",Petrol,Manual,5.81,"Gota, Ahmedabad"
2017,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"80,119",Petrol,Manual,4.73,"Gota, Ahmedabad"
2015,Hyundai i20 Asta 1.2,"70,458",Petrol,Manual,5.13,"Gota, Ahmedabad"
2016,Maruti Alto 800 VXI,"54,743",Petrol,Manual,2.86,"Gota, Ahmedabad"
2017,Maruti Alto 800 LXi,"45,893",Petrol,Manual,2.99,"Gota, Ahmedabad"
2016,Maruti Alto 800 LXI,"48,723",Petrol,Manual,2.44,"Mumatpura, Ahmedabad"
2021,MG Hector Sharp DCT,"19,000",Petrol,Automatic,14.75,"Naranpura, Ahmedabad"
2017,Maruti Alto 800 LXi,"62,163",Petrol,Manual,2.78,"Gota, Ahmedabad"
2015,Honda Amaze S i-VTEC,"66,934",Petrol,Manual,3.95,"Gota, Ahmedabad"
2022,Honda Amaze VX i-VTEC,"23,708",Petrol,Manual,7.19,"Gota, Ahmedabad"
2018,Honda Jazz V,"66,619",Petrol,Manual,4.80,"Gota, Ahmedabad"
2016,Maruti Celerio ZXI AMT,"17,363",Petrol,Automatic,3.82,"Naroda, Ahmedabad"
2020,Hyundai Venue SX,"27,337",Petrol,Manual,9.23,"Gota, Ahmedabad"
2021,Kia Sonet HTK Plus Turbo iMT BSVI,"42,939",Petrol,Manual,7.27,"Naroda, Ahmedabad"
2023,Tata Tiago 1.2 Revotron XZ Plus,"9,330",Petrol,Manual,6.33,"Gota, Ahmedabad"
2020,Maruti Wagon R VXI,"26,359",Petrol,Manual,4.22,"Mumatpura, Ahmedabad"
2017,Honda City i VTEC VX,"60,000",Petrol,Manual,6.95,"Makarba, Ahmedabad"
2011,Honda City 1.5 S MT,"75,000",Petrol,Manual,3.50,"Makarba, Ahmedabad"
2017,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"31,149",Petrol,Manual,4.67,"Mumatpura, Ahmedabad"
2022,Hyundai Santro Sportz,"19,855",Petrol,Manual,4.80,"Mumatpura, Ahmedabad"
