Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2019,Maruti Alto 800 LXi,47829,Petrol,Manual,310000,Ahmedabad
2020,Maruti Alto 800 VXI BSVI,65045,Petrol,Manual,312000,Ahmedabad
2016,Hyundai Grand i10 Sportz,42000,Petrol,Manual,450000,Ahmedabad
2021,Tata Tiago XZA,12684,Petrol,Automatic,611000,Ahmedabad
2021,Maruti Baleno Delta,53054,Petrol,Manual,537000,Ahmedabad
2018,Maruti Alto 800 VXI,104554,Petrol,Manual,256999,Ahmedabad
2021,Maruti Alto 800 LXI Opt BSVI,48769,Petrol,Manual,334000,Ahmedabad
2010,Honda Jazz Active,65000,Petrol,Manual,225000,Ahmedabad
2012,Hyundai Verna 1.6 CRDi SX Opt,83355,Diesel,Manual,432000,Ahmedabad
2018,Hyundai Grand i10 1.2 Kappa Magna BSIV,13916,Petrol,Manual,430999,Ahmedabad
2019,Maruti Alto K10 VXI,56771,Petrol,Manual,308000,Ahmedabad
2015,Maruti Celerio LXI,42083,Petrol,Manual,287000,Ahmedabad
2014,Honda Mobilio S i-DTEC,87404,Diesel,Manual,325000,Ahmedabad
2022,Maruti Grand Vitara Alpha Plus Hybrid CVT,49069,Petrol,Automatic,1577000,Ahmedabad
2013,Maruti Ritz VXi,45929,Petrol,Manual,297000,Ahmedabad
2021,Renault Triber RXT,44103,Petrol,Manual,442000,Ahmedabad
2015,Skoda Rapid 1.6 MPI Ambition,79000,Petrol,Manual,490000,Ahmedabad
2019,Hyundai i20 Sportz Plus BSIV,53010,Petrol,Manual,580000,Ahmedabad
2022,Maruti Brezza Zxi Plus,75180,Petrol,Manual,963000,Ahmedabad
2023,Citroen C3 Puretech 110 Feel,19000,Petrol,Manual,650000,Ahmedabad
2018,Maruti Dzire VXI,68949,Petrol,Manual,536000,Ahmedabad
2021,Hyundai i20 Sportz 1.2,26610,Petrol,Manual,663000,Ahmedabad
2018,Maruti Baleno 1.2 CVT Alpha,75000,Petrol,Automatic,575000,Ahmedabad
2016,Maruti Wagon R LXI BS IV,47304,Petrol,Manual,319000,Ahmedabad
2012,Honda Brio E MT,79187,Petrol,Manual,225999,Ahmedabad
2017,Honda Jazz 1.2 SV i VTEC,93341,Petrol,Manual,399000,Ahmedabad
2016,Hyundai Grand i10 1.2 Kappa Magna BSIV,101688,Petrol,Manual,393000,Ahmedabad
2019,Renault Triber RXZ,45681,Petrol,Manual,568000,Ahmedabad
2014,Hyundai Xcent 1.2 Kappa S Option,61000,Petrol,Manual,375000,Ahmedabad
2022,Hyundai i20 Asta Opt BSVI,11518,Petrol,Manual,760000,Ahmedabad
2021,Tata Safari XZA Plus (O) 6Str AT,37502,Diesel,Automatic,1761000,Ahmedabad
2016,Maruti Alto 800 LXi,55655,Petrol,Manual,281000,Ahmedabad
2015,Hyundai i20 Asta 1.2,67081,Petrol,Manual,492000,Ahmedabad
2023,Kia Sonet GTX Plus Diesel iMT,9393,Diesel,Automatic,1076000,Ahmedabad
2015,Hyundai Xcent Petrol,61287,Petrol,Manual,383000,Ahmedabad
2015,Honda Amaze S i-Vtech,68460,Petrol,Manual,360000,Ahmedabad
2017,Maruti Celerio ZXI,43439,Petrol,Manual,419000,Ahmedabad
2017,Honda City i-VTEC CVT ZX,34000,Petrol,Automatic,850000,Ahmedabad
2014,Hyundai Verna 1.6 CRDi SX,82789,Diesel,Manual,497000,Ahmedabad
2021,Honda WR-V i-DTEC VX,78691,Diesel,Manual,778000,Ahmedabad
2018,Hyundai Grand i10 1.2 Kappa Magna BSIV,24129,Petrol,Manual,482000,Ahmedabad
2022,Honda City V MT,46804,Petrol,Manual,849000,Ahmedabad
2023,Tata Altroz XZ Plus,6761,Petrol,Manual,955000,Ahmedabad
2014,Hyundai Grand i10 1.2 Kappa Asta,79369,Petrol,Manual,420000,Ahmedabad
2020,Hyundai Santro Era Executive,45963,Petrol,Manual,421000,Ahmedabad
2015,Honda Brio E MT,52000,Petrol,Manual,295000,Ahmedabad
