Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2018,Maruti Vitara Brezza ZDi AMT,"27,300",Diesel,Automatic,8.25,"Vileparle(west) S.o, Mumbai"
2018,Jeep Compass 1.4 Limited Option,"69,161",Petrol,Automatic,10.50,"Antop Hill, Mumbai"
2018,Honda City i-VTEC CVT VX,"49,000",Petrol,Automatic,8,"Mahim, Mumbai"
2022,MG Hector Sharp CVT,"15,416",Petrol,Automatic,16.50,"Borivali West, Mumbai"
2015,Maruti Celerio ZXI AT,"32,200",Petrol,Automatic,3.59,"West, Thane"
2022,Kia Seltos GTX Plus Diesel AT,"31,900",Diesel,Automatic,18,"Malad West, Mumbai"
2021,Audi A6 45 TFSI Technology WO Matrix BSVI,"34,400",Petrol,Automatic,43.75,"Matunga West, Mumbai"
2016,Maruti Ciaz AT ZXi,"20,200",Petrol,Automatic,6.25,"Borivali West, Mumbai"
2017,Mercedes-Benz GLE 250d,"73,750",Diesel,Automatic,36,"Mulund West, Mumbai"
2022,Jeep Compass 1.4 Limited Opt DCT BSVI,"4,400",Petrol,Automatic,18.95,"Goregaon (w), Mumbai"
2014,BMW 3 Series GT 320d Luxury Line,"66,000",Diesel,Automatic,16.49,"Jogeshwari East, Mumbai"
2016,Maruti Ciaz VDi Plus SHVS,"47,931",Diesel,Manual,5.40,"Kandivali East, Mumbai"
2014,Maruti Wagon R LXI CNG,"64,412",CNG,Manual,2.99,"West, Thane"
2013,Honda City V MT,"48,000",Petrol,Manual,3.64,"Ins Hamla, Mumbai"
2018,Hyundai Santro Sportz CNG BSIV,"70,872",CNG,Manual,3.74,"Nerul, Navi Mumbai"
2019,Ford Ecosport 1.5 Petrol Titanium Plus BSIV,"57,000",Petrol,Manual,9.21,"Borivali West, Mumbai"
2011,Mahindra Xylo D2,"75,000",Diesel,Manual,2.45,"Andheri West, Mumbai"
2020,Honda City i-VTEC CVT V,"46,850",Petrol,Automatic,7.95,"Kandivali West, Mumbai"
2016,Honda City i VTEC CVT VX,"38,224",Petrol,Automatic,6.99,"West, Thane"
2016,Maruti Ertiga SHVS ZDI Plus,"63,000",Diesel,Manual,7.25,"Andheri East, Mumbai"
2011,Toyota Etios G,"68,000",Petrol,Manual,1.99,"Andheri West, Mumbai"
2021,Hyundai Venue SX Plus Turbo DCT,"8,000",Petrol,Automatic,11.25,"Andheri West, Mumbai"
2013,Maruti Wagon R LXI CNG,"28,241",CNG,Manual,2.78,"Kandivali East, Mumbai"
2016,Land Rover Discovery Sport TD4 HSE,"1,17,000",Diesel,Automatic,24.90,"Ghatkopar East, Mumbai"
2013,Chevrolet Sail Hatchback LT ABS,"80,000",Diesel,Manual,"60,000",Mumbai
2015,Hyundai Grand i10 Asta,"32,815",Petrol,Manual,3.25,"Nerul, Navi Mumbai"
2021,Hyundai Alcazar Signature (O) AT,"26,000",Petrol,Automatic,16.50,"Antop Hill, Mumbai"
2016,Maruti Celerio VXI,"25,311",Petrol,Manual,3.38,"Mulund West, Mumbai"
2012,Hyundai Verna 1.4 CRDi,"1,20,000",Diesel,Manual,2.95,Mumbai
2022,MG ZS EV Exclusive,"27,153",Electric,Automatic,18,"Thane West, Mumbai"
2019,Skoda Octavia 1.8 TSI AT L K,"47,000",Petrol,Automatic,15.45,"Goregaon (w), Mumbai"
2013,Honda City V MT,"70,000",Petrol,Manual,3.95,"Thurbe, Navi Mumbai"
2019,Mercedes-Benz GLA Class 200 d Sport,"29,000",Diesel,Automatic,21,"Mulund West, Mumbai"
2019,Tata Nexon 1.5 Revotorq XZA Plus,"59,866",Diesel,Automatic,7.54,"Goregaon East, Mumbai"
2018,Honda City i-VTEC S,"70,336",Petrol,Manual,5.75,"Prabhadevi, Mumbai"
2022,Volkswagen Taigun 1.5 TSI GT BSVI,"6,462",Petrol,Manual,13,"Borivali West, Mumbai"
2023,Tata Altroz XZA DCT,"6,100",Petrol,Automatic,8.25,"Vileparle(west) S.o, Mumbai"
2022,Jeep Compass 2.0 Limited Opt Diesel BSVI,"38,000",Diesel,Manual,21.90,"Matunga West, Mumbai"
2020,Honda City V MT,"57,000",Petrol,Manual,9.15,"Andheri East, Mumbai"
2018,Hyundai i20 Petrol CVT Asta,"50,000",Petrol,Automatic,5.75,"Jekegram, Thane"
2022,Mahindra Alturas G4 4X4 AT,"13,242",Diesel,Automatic,32.50,"Borivali West, Mumbai"
2020,Maruti Baleno Alpha CVT,"46,000",Petrol,Automatic,7,"Vadpe, Thane"
2017,Maruti Baleno 1.2 CVT Zeta,"58,000",Petrol,Automatic,4.95,"Ins Hamla, Mumbai"
2021,MG Hector Plus Sharp Hybrid MT,"36,000",Petrol,Manual,13.85,"Andheri East, Mumbai"
2019,Hyundai Creta 1.6 SX Automatic,"43,000",Petrol,Automatic,10.99,"Mulund West, Mumbai"
2022,MG Hector Sharp Diesel MT,"30,000",Diesel,Manual,16.50,"Andheri East, Mumbai"
2022,Skoda Kushaq 1.0 TSI Monte Carlo AT,"18,000",Petrol,Automatic,16.45,"Goregaon (w), Mumbai"
2016,Hyundai Grand i10 AT Asta,"59,700",Petrol,Automatic,5.35,"Malad West, Mumbai"
2019,Skoda Rapid 1.6 MPI Active BSIV,"15,786",Petrol,Manual,6.25,"Borivali West, Mumbai"
2020,Kia Sonet 1.5 GTX Plus Diesel DT,"61,200",Diesel,Manual,12.25,"Santacruz(west) S.o, Mumbai"
2020,Honda City ZX CVT,"32,000",Petrol,Automatic,9.70,"Ins Hamla, Mumbai"
2018,BMW 6 Series GT 630d M Sport,"59,100",Diesel,Automatic,37,"Andheri West, Mumbai"
2018,Mahindra Scorpio S11 BSIV,"99,776",Diesel,Manual,12.95,"West, Thane"
2019,Maruti Baleno 1.2 Delta,"36,553",Petrol,Manual,5.25,"Goregaon East, Mumbai"
2017,Maruti Ciaz 1.4 AT Delta,"25,000",Petrol,Automatic,5.95,"Ins Hamla, Mumbai"
2015,Mercedes-Benz E-Class E 200 CGI,"87,800",Petrol,Automatic,16.16,"West, Thane"
2015,Skoda Rapid 1.6 MPI AT Elegance Black Package,"48,999",Petrol,Automatic,5.20,"Vikhroli, Mumbai"
2022,Jeep Compass 1.4 Limited Opt DCT BSVI,"18,000",Petrol,Automatic,19.45,"Andheri East, Mumbai"
2022,Mercedes-Benz E-Class Exclusive E 220d BSVI,"16,000",Diesel,Automatic,60.95,"Goregaon (w), Mumbai"
2023,Hyundai i20 N-Line N8 DCT,"10,300",Petrol,Automatic,11.99,"Borivali West, Mumbai"
2020,Tata Nexon XZA Plus (O) AMT Diesel,"1,20,000",Diesel,Automatic,7.60,Mira Road
2016,Tata Tiago XT BSVI,"46,932",Petrol,Manual,3.60,"Prabhadevi, Mumbai"
2016,Maruti Baleno 1.2 Zeta,"41,910",Petrol,Manual,5.35,"Kandivali West, Mumbai"
2017,Land Rover Discovery Sport TD4 HSE 7S,"53,300",Diesel,Automatic,29.99,"West, Thane"
2014,Skoda Rapid 1.6 MPI AT Elegance,"90,000",Petrol,Automatic,2.80,Navi Mumbai
2021,MG Gloster Savvy 6-Str,"29,170",Diesel,Automatic,32,"Mulund West, Mumbai"
2018,Maruti Swift Dzire AMT ZXI Plus BS IV,"55,000",Petrol,Automatic,6.31,"Bazargate, Mumbai"
2016,Honda City i VTEC V,"46,000",Petrol,Manual,5.85,"Andheri East, Mumbai"
2020,Audi Q2 Premium Plus II,"10,000",Petrol,Automatic,35,Mumbai
2021,Kia Seltos GTX Plus Diesel AT,"57,000",Diesel,Automatic,15,"Antop Hill, Mumbai"
2022,Honda City ZX CVT,"36,500",Petrol,Automatic,12.40,"Borivali West, Mumbai"
2022,Honda Amaze 2nd Gen VX CVT BSVI,"25,322",Petrol,Automatic,7.50,"Prabhadevi, Mumbai"
2020,Maruti Baleno Delta,"30,000",Petrol,Manual,5.25,Navi Mumbai
2022,Mercedes-Benz E-Class AMG E 350d BSVI,"13,881",Diesel,Automatic,68,"Borivali West, Mumbai"
